threshold,tp,fp,tn,fn,tpr,fpr,precision,asr,split
0.6940390086,31982,2043,1104,101,0.9968519153,0.6491897045,0.9399559148,0.003148084655,test_main_adv2
0.6990390086,31982,2041,1106,101,0.9968519153,0.6485541786,0.9400111689,0.003148084655,test_main_adv2
0.7040390086,31980,2037,1110,103,0.996789577,0.6472831268,0.9401181762,0.003210422965,test_main_adv2
0.7090390086,31980,2031,1116,103,0.996789577,0.6453765491,0.9402840258,0.003210422965,test_main_adv2
0.7140390086,31979,2025,1122,104,0.9967584079,0.6434699714,0.9404481826,0.00324159212,test_main_adv2
0.7190390086,31979,2023,1124,104,0.9967584079,0.6428344455,0.9405034998,0.00324159212,test_main_adv2
0.7240390086,31979,2019,1128,104,0.9967584079,0.6415633937,0.9406141538,0.00324159212,test_main_adv2
0.7290390086,31978,2018,1129,105,0.9967272387,0.6412456308,0.9406400753,0.003272761275,test_main_adv2
0.7340390086,31976,2015,1132,107,0.9966649004,0.6402923419,0.9407196022,0.003335099585,test_main_adv2
0.7390390086,31973,2013,1134,110,0.9965713929,0.639656816,0.9407697287,0.00342860705,test_main_adv2
0.7440390086,31972,2008,1139,111,0.9965402238,0.6380680013,0.9409064155,0.003459776205,test_main_adv2
0.7490390086,31972,2005,1142,111,0.9965402238,0.6371147124,0.9409894929,0.003459776205,test_main_adv2
0.7540390086,31971,1999,1148,112,0.9965090546,0.6352081347,0.9411539594,0.00349094536,test_main_adv2
0.7590390086,31971,1996,1151,112,0.9965090546,0.6342548459,0.9412370831,0.00349094536,test_main_adv2
0.7640390086,31971,1993,1154,112,0.9965090546,0.633301557,0.9413202214,0.00349094536,test_main_adv2
0.7690390086,31970,1990,1157,113,0.9964778855,0.6323482682,0.941401649,0.003522114515,test_main_adv2
0.7740390086,31967,1982,1165,116,0.996384378,0.6298061646,0.9416183098,0.00361562198,test_main_adv2
0.7790390086,31967,1976,1171,116,0.996384378,0.6278995869,0.9417847568,0.00361562198,test_main_adv2
0.7840390086,31966,1974,1173,117,0.9963532089,0.627264061,0.9418385386,0.003646791135,test_main_adv2
0.7890390086,31965,1971,1176,118,0.9963220397,0.6263107722,0.9419200849,0.00367796029,test_main_adv2
0.7940390086,31964,1969,1178,119,0.9962908706,0.6256752463,0.9419738897,0.003709129446,test_main_adv2
0.7990390086,31962,1967,1180,121,0.9962285322,0.6250397204,0.9420259955,0.003771467756,test_main_adv2
0.8040390086,31962,1962,1185,121,0.9962285322,0.6234509056,0.9421648391,0.003771467756,test_main_adv2
0.8090390086,31961,1959,1188,122,0.9961973631,0.6224976168,0.9422464623,0.003802636911,test_main_adv2
0.8140390086,31960,1956,1191,123,0.9961661939,0.6215443279,0.9423281047,0.003833806066,test_main_adv2
0.8190390086,31956,1951,1196,127,0.9960415173,0.6199555132,0.9424602589,0.003958482686,test_main_adv2
0.8240390086,31955,1949,1198,128,0.9960103482,0.6193199873,0.9425141576,0.003989651841,test_main_adv2
0.8290390086,31954,1947,1200,129,0.995979179,0.6186844614,0.9425680658,0.004020820996,test_main_adv2
0.8340390086,31954,1942,1205,129,0.995979179,0.6170956466,0.9427071041,0.004020820996,test_main_adv2
0.8390390086,31953,1935,1212,130,0.9959480098,0.614871306,0.9429001416,0.004051990151,test_main_adv2
0.8440390086,31951,1929,1218,132,0.9958856715,0.6129647283,0.9430637544,0.004114328461,test_main_adv2
0.8490390086,31949,1923,1224,134,0.9958233332,0.6110581506,0.9432274445,0.004176666771,test_main_adv2
0.8540390086,31942,1912,1235,141,0.9956051491,0.6075627582,0.9435221835,0.004394850856,test_main_adv2
0.6140390086,91,84,14,8,0.9191919192,0.8571428571,0.52,0.08080808081,test_jbb_adv2
0.6190390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
0.6240390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
0.6290390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
0.6340390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
0.6390390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
